System Information
CPU's,1
Memory MB,8192
ipmi_address,
Boot Interface,00:87:66:1c:ea:36
OS Version,CentOS Linux release 7.2.1511 (Core)
OS Vendor,CentOS
Product Name,KVM
Product UUID,F22421D9-7ED6-4279-B66E-6D7942B2C707
Product Vendor,Red Hat
Product Version,"RHEL 7.0.0 PC (i440FX + PIIX, 1996)"
Kernel Arch,x86_64
Kernel Version,3.10.0-327.22.2.el7.x86_64
Bios Vendor,Seabios
Bios Version,0.5.1
Bios Date,01/01/2011

NIC Information
NIC,IP,MAC
eth0,192.0.2.100,00:87:66:1c:ea:36

CPU Information
Physical Count,1
Logical Count,1
Physid,Product,Vendor,Frequency
401,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,Intel Corp.,2000000000.0

Disks Information
Name,Vendor,Size
/dev/vda,0x1af4,53687091200
0

